country,iso_code,year,renewables_pct,fossil_pct,solar_pct,wind_pct
Algeria,DZA,1970,4.4,95.6,0.0,0.0
Algeria,DZA,1971,2.3,97.7,0.0,0.0
Algeria,DZA,1972,3.1,96.9,0.0,0.0
Algeria,DZA,1973,3.9,96.1,0.0,0.0
Algeria,DZA,1974,2.3,97.7,0.0,0.0
Algeria,DZA,1975,1.3,98.7,0.0,0.0
Algeria,DZA,1976,1.3,98.7,0.0,0.0
Algeria,DZA,1977,0.8,99.2,0.0,0.0
Algeria,DZA,1978,0.6,99.4,0.0,0.0
Algeria,DZA,1979,0.5,99.5,0.0,0.0
Algeria,DZA,1980,0.4,99.6,0.0,0.0
Algeria,DZA,1981,0.5,99.5,0.0,0.0
Algeria,DZA,1982,0.5,99.5,0.0,0.0
Algeria,DZA,1983,0.2,99.8,0.0,0.0
Algeria,DZA,1984,0.5,99.5,0.0,0.0
Algeria,DZA,1985,0.7,99.3,0.0,0.0
Algeria,DZA,1986,0.3,99.8,0.0,0.0
Algeria,DZA,1987,0.5,99.5,0.0,0.0
Algeria,DZA,1988,0.2,99.8,0.0,0.0
Algeria,DZA,1989,0.2,99.8,0.0,0.0
Algeria,DZA,1990,0.1,99.9,0.0,0.0
Algeria,DZA,1991,0.3,99.7,0.0,0.0
Algeria,DZA,1992,0.2,99.8,0.0,0.0
Algeria,DZA,1993,0.3,99.7,0.0,0.0
Algeria,DZA,1994,0.2,99.8,0.0,0.0
Algeria,DZA,1995,0.2,99.8,0.0,0.0
Algeria,DZA,1996,0.1,99.9,0.0,0.0
Algeria,DZA,1997,0.1,99.9,0.0,0.0
Algeria,DZA,1998,0.2,99.8,0.0,0.0
Algeria,DZA,1999,0.2,99.8,0.0,0.0
Algeria,DZA,2000,0.1,100.0,0.0,0.0
Algeria,DZA,2001,0.1,99.9,0.0,0.0
Algeria,DZA,2002,0.0,100.0,0.0,0.0
Algeria,DZA,2003,0.2,99.8,0.0,0.0
Algeria,DZA,2004,0.2,99.8,0.0,0.0
Algeria,DZA,2005,0.4,99.6,0.0,0.0
Algeria,DZA,2006,0.2,99.8,0.0,0.0
Algeria,DZA,2007,0.2,99.9,0.0,0.0
Algeria,DZA,2008,0.2,99.8,0.0,0.0
Algeria,DZA,2009,0.2,99.8,0.0,0.0
Algeria,DZA,2010,0.1,99.9,0.01,0.0
Algeria,DZA,2011,0.2,99.8,0.01,0.0
Algeria,DZA,2012,0.2,99.8,0.01,0.0
Algeria,DZA,2013,0.1,99.9,0.01,0.0
Algeria,DZA,2014,0.1,99.9,0.03,0.0
Algeria,DZA,2015,0.1,99.9,0.02,0.01
Algeria,DZA,2016,0.1,99.9,0.1,0.01
Algeria,DZA,2017,0.2,99.8,0.2,0.01
Algeria,DZA,2018,0.3,99.7,0.22,0.0
Algeria,DZA,2019,0.3,99.7,0.22,0.0
Algeria,DZA,2020,0.3,99.7,0.26,0.0
Algeria,DZA,2021,0.2,99.8,0.23,0.0
Algeria,DZA,2022,0.2,99.8,0.22,0.01
Algeria,DZA,2023,0.2,99.8,0.21,0.01
Algeria,DZA,2024,0.2,99.8,0.22,0.01
Argentina,ARG,1970,1.3,98.7,0.0,0.0
Argentina,ARG,1971,1.2,98.8,0.0,0.0
Argentina,ARG,1972,1.2,98.8,0.0,0.0
Argentina,ARG,1973,2.2,97.9,0.0,0.0
Argentina,ARG,1974,3.4,95.9,0.0,0.0
Argentina,ARG,1975,3.6,94.6,0.0,0.0
Argentina,ARG,1976,3.3,95.0,0.0,0.0
Argentina,ARG,1977,3.7,95.3,0.0,0.0
Argentina,ARG,1978,4.9,93.3,0.0,0.0
Argentina,ARG,1979,6.3,92.1,0.0,0.0
Argentina,ARG,1980,9.0,89.6,0.0,0.0
Argentina,ARG,1981,9.0,89.3,0.0,0.0
Argentina,ARG,1982,10.5,88.3,0.0,0.0
Argentina,ARG,1983,10.6,87.5,0.0,0.0
Argentina,ARG,1984,11.4,86.0,0.0,0.0
Argentina,ARG,1985,12.0,84.7,0.0,0.0
